Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.7,-73.81875,0.0,top
C1,149.397349,-94.0,0.0,top
D1,139.945,-102.95,0.0,top
M1,108.7,-102.945,0.0,top
Q1,107.2,-78.835,0.0,top
Q2,144.43,-78.565,0.0,top
R1,110.2,-90.44,90.0,top
R3,124.7,-90.46,90.0,top
R4,131.95,-90.44,90.0,top
R5,138.85,-90.5,90.0,top
RV1,119.42,-105.49,0.0,top
SW1,129.45,-105.4,0.0,top
